source,target,time_fps
fly3,fly2,4930
fly11,fly2,4933
fly2,fly11,4935
fly10,fly4,4954
fly2,fly11,4966
fly5,fly11,4969
fly10,fly12,4976
fly8,fly1,5020
fly12,fly10,5025
fly1,fly8,5028
fly10,fly1,5048
fly5,fly12,5063
fly9,fly2,5091
fly11,fly9,5101
fly12,fly5,5105
fly9,fly11,5113
fly11,fly3,5134
fly12,fly8,5159
fly8,fly12,5168
fly10,fly7,5216
fly8,fly5,5231
fly8,fly2,5237
fly2,fly8,5237
fly5,fly1,5264
fly10,fly12,5286
fly12,fly10,5311
fly12,fly4,5334
fly4,fly12,5335
fly1,fly3,5343
fly1,fly6,5362
fly6,fly1,5363
fly8,fly12,5371
fly5,fly3,5374
fly11,fly9,5387
fly12,fly8,5392
fly9,fly11,5397
fly2,fly5,5437
fly8,fly2,5469
fly6,fly5,5471
fly8,fly6,5475
fly5,fly6,5476
fly12,fly3,5479
fly3,fly12,5483
fly8,fly5,5487
fly6,fly8,5487
fly5,fly8,5487
fly12,fly3,5507
fly2,fly8,5534
fly6,fly3,5559
fly3,fly6,5563
fly10,fly1,5565
fly8,fly2,5571
fly9,fly4,5589
fly7,fly12,5591
fly6,fly8,5602
fly11,fly12,5611
fly9,fly2,5619
fly12,fly7,5621
fly9,fly6,5622
fly4,fly10,5624
fly2,fly9,5626
fly2,fly4,5634
fly11,fly12,5636
fly4,fly6,5645
fly4,fly8,5645
fly5,fly1,5650
fly9,fly10,5655
fly8,fly6,5661
fly1,fly5,5666
fly3,fly1,5692
fly10,fly9,5694
fly11,fly12,5708
fly12,fly10,5723
fly12,fly6,5794
fly7,fly11,5796
fly6,fly10,5799
fly12,fly10,5807
fly10,fly6,5816
fly11,fly1,5817
fly10,fly12,5818
fly2,fly4,5835
fly10,fly7,5838
fly12,fly6,5839
fly6,fly12,5861
fly6,fly12,5878
fly7,fly3,5886
fly5,fly4,5888
fly7,fly1,5888
fly6,fly12,5910
fly7,fly6,5923
fly12,fly1,5931
fly11,fly7,5931
fly8,fly4,5932
fly11,fly6,5939
fly3,fly12,5958
fly7,fly11,5976
fly10,fly2,5985
fly4,fly12,5991
fly4,fly7,6002
fly10,fly2,6008
fly11,fly1,6010
fly1,fly7,6013
fly4,fly1,6014
fly4,fly11,6021
fly7,fly11,6030
fly11,fly4,6031
fly9,fly12,6076
fly7,fly11,6088
fly12,fly3,6092
fly5,fly8,6105
fly7,fly9,6106
fly5,fly10,6131
fly2,fly3,6146
fly8,fly1,6151
fly1,fly8,6154
fly10,fly1,6170
fly7,fly11,6170
fly1,fly10,6171
fly10,fly8,6171
fly6,fly9,6224
fly10,fly8,6234
fly2,fly3,6238
fly5,fly12,6243
fly4,fly6,6251
fly7,fly3,6256
fly4,fly8,6264
fly12,fly2,6266
fly12,fly5,6287
fly5,fly12,6299
fly2,fly7,6299
fly7,fly5,6310
fly5,fly7,6320
fly7,fly12,6328
fly11,fly7,6344
fly11,fly12,6355
fly6,fly10,6355
fly7,fly12,6364
fly12,fly7,6369
fly6,fly9,6381
fly12,fly5,6421
fly3,fly8,6446
fly11,fly4,6446
fly4,fly11,6447
fly2,fly9,6456
fly12,fly5,6458
fly12,fly8,6504
fly5,fly8,6507
fly1,fly2,6555
fly2,fly1,6560
fly3,fly12,6564
fly6,fly2,6568
fly6,fly1,6575
fly3,fly12,6589
fly1,fly2,6595
fly4,fly5,6607
fly5,fly12,6614
fly10,fly8,6617
fly4,fly12,6618
fly3,fly4,6628
fly5,fly12,6652
fly6,fly2,6662
fly2,fly6,6663
fly5,fly12,6679
fly6,fly4,6692
fly10,fly9,6706
fly9,fly10,6707
fly9,fly10,6737
fly8,fly11,6791
fly6,fly4,6792
fly6,fly8,6812
fly6,fly10,6813
fly6,fly11,6819
fly8,fly6,6829
fly11,fly6,6832
fly11,fly8,6835
fly4,fly11,6846
fly4,fly7,6888
fly12,fly10,6915
fly11,fly7,6915
fly7,fly11,6915
fly8,fly4,6915
fly7,fly5,6929
fly10,fly7,7030
fly8,fly6,7052
fly6,fly8,7052
fly6,fly5,7067
fly9,fly12,7070
fly12,fly9,7070
fly12,fly10,7090
fly6,fly8,7092
fly8,fly6,7094
fly5,fly8,7113
fly4,fly11,7117
fly10,fly12,7136
fly10,fly3,7145
fly7,fly2,7152
fly2,fly1,7170
fly2,fly11,7172
fly1,fly11,7195
fly4,fly8,7200
fly10,fly8,7221
fly4,fly10,7223
fly10,fly4,7226
fly5,fly1,7240
fly2,fly1,7271
fly9,fly3,7279
fly1,fly10,7285
fly8,fly2,7304
fly2,fly8,7309
fly9,fly3,7311
fly9,fly10,7313
fly12,fly6,7320
fly5,fly1,7324
fly1,fly10,7324
fly1,fly3,7324
fly9,fly1,7330
fly3,fly5,7330
fly10,fly9,7330
fly3,fly1,7330
fly10,fly1,7336
fly11,fly4,7395
fly4,fly11,7395
fly1,fly9,7397
fly6,fly10,7397
fly2,fly1,7413
fly11,fly12,7432
fly4,fly10,7434
fly9,fly3,7441
fly12,fly4,7509
fly4,fly12,7510
fly6,fly2,7565
fly2,fly7,7565
fly1,fly12,7575
fly2,fly6,7577
fly1,fly10,7583
fly2,fly7,7594
fly1,fly12,7595
fly12,fly10,7604
fly7,fly4,7608
fly8,fly1,7627
fly1,fly8,7628
fly3,fly10,7632
fly4,fly6,7633
fly12,fly8,7648
fly8,fly12,7651
fly6,fly11,7654
fly12,fly1,7655
fly1,fly12,7665
fly3,fly1,7676
fly7,fly11,7688
fly12,fly1,7702
fly10,fly8,7710
fly1,fly12,7711
fly4,fly6,7731
fly10,fly8,7741
fly5,fly8,7757
fly11,fly2,7789
fly11,fly2,7807
fly8,fly5,7828
fly5,fly1,7829
fly1,fly5,7845
fly7,fly3,7852
fly1,fly9,7860
fly12,fly2,7864
fly9,fly1,7865
fly11,fly2,7871
fly5,fly1,7874
fly5,fly9,7876
fly12,fly11,7905
fly4,fly8,7969
fly11,fly10,7985
fly10,fly11,7986
fly9,fly10,8001
fly2,fly12,8007
fly5,fly9,8014
fly11,fly6,8030
fly10,fly7,8031
fly7,fly10,8031
fly9,fly5,8052
fly5,fly7,8058
fly7,fly5,8058
fly7,fly9,8064
fly9,fly7,8064
fly4,fly9,8080
fly2,fly10,8091
fly4,fly5,8122
fly6,fly8,8124
fly12,fly4,8126
fly12,fly7,8159
fly7,fly12,8164
fly5,fly4,8171
fly2,fly4,8218
fly5,fly9,8227
fly11,fly3,8228
fly1,fly2,8235
fly2,fly4,8246
fly3,fly12,8335
fly12,fly9,8355
fly11,fly5,8357
fly1,fly4,8389
fly8,fly4,8432
fly9,fly2,8451
fly6,fly4,8467
fly2,fly11,8478
fly12,fly8,8495
fly5,fly8,8528
fly8,fly12,8532
fly12,fly5,8540
fly6,fly3,8543
fly6,fly7,8550
fly3,fly8,8575
fly8,fly3,8575
fly6,fly4,8590
fly9,fly5,8599
fly11,fly1,8617
fly1,fly11,8637
fly8,fly6,8651
fly7,fly3,8653
fly12,fly8,8658
fly11,fly9,8669
fly7,fly3,8673
fly5,fly11,8688
fly11,fly5,8688
fly12,fly8,8693
fly8,fly12,8719
fly5,fly9,8727
fly6,fly12,8731
fly5,fly2,8751
fly8,fly6,8752
fly2,fly5,8767
fly9,fly10,8802
fly2,fly3,8803
fly6,fly12,8818
fly3,fly2,8843
fly6,fly12,8843
fly2,fly7,8864
fly5,fly12,8875
fly12,fly5,8875
fly7,fly2,8877
fly2,fly10,8925
fly2,fly7,8954
fly5,fly3,8966
fly2,fly9,9010
fly5,fly3,9015
fly9,fly2,9016
fly4,fly12,9034
fly12,fly4,9034
fly9,fly7,9039
fly7,fly9,9054
fly10,fly7,9074
fly12,fly6,9080
fly4,fly9,9086
fly9,fly4,9086
fly11,fly12,9111
fly7,fly4,9122
fly4,fly7,9131
fly2,fly3,9135
fly2,fly3,9155
fly4,fly7,9204
fly7,fly3,9217
fly11,fly5,9224
fly5,fly11,9224
fly2,fly7,9239
fly7,fly2,9239
fly8,fly12,9239
fly5,fly11,9247
fly5,fly7,9275
fly7,fly5,9275
fly11,fly2,9279
fly5,fly2,9295
fly2,fly5,9295
fly4,fly6,9299
fly9,fly11,9302
fly11,fly9,9311
fly5,fly11,9324
fly11,fly5,9332
fly7,fly2,9338
fly2,fly7,9339
fly9,fly6,9357
fly8,fly1,9359
fly6,fly11,9372
fly9,fly6,9374
fly6,fly4,9379
fly11,fly5,9382
fly4,fly6,9384
fly10,fly9,9391
fly10,fly6,9402
fly8,fly2,9407
fly2,fly8,9408
fly11,fly10,9411
fly11,fly5,9412
fly10,fly11,9418
fly10,fly5,9421
fly11,fly5,9438
fly7,fly8,9460
fly7,fly6,9470
fly6,fly7,9470
fly6,fly10,9505
fly9,fly12,9521
fly12,fly9,9521
fly12,fly9,9544
fly12,fly10,9629
fly10,fly12,9642
fly12,fly10,9693
fly11,fly12,9710
fly5,fly8,9734
fly12,fly6,9748
fly6,fly12,9749
fly12,fly11,9752
fly11,fly12,9763
fly6,fly9,9764
fly2,fly4,9773
fly9,fly6,9786
fly12,fly3,9788
fly11,fly9,9788
fly9,fly11,9788
fly12,fly9,9789
fly3,fly7,9796
fly12,fly6,9800
fly9,fly3,9800
fly3,fly9,9800
fly9,fly7,9808
fly7,fly9,9812
fly3,fly11,9813
fly2,fly5,9815
fly6,fly12,9815
fly11,fly7,9821
fly3,fly12,9826
fly3,fly11,9835
fly7,fly11,9837
fly11,fly9,9838
fly7,fly3,9848
fly6,fly8,9850
fly8,fly3,9858
fly3,fly8,9858
fly9,fly11,9868
fly7,fly9,9870
fly8,fly11,9881
fly2,fly5,9884
fly8,fly9,9892
fly11,fly1,9901
fly5,fly4,9905
fly9,fly6,9931
fly6,fly8,9948
fly12,fly2,9955
fly2,fly12,9956
fly5,fly2,9976
fly2,fly5,9987
fly12,fly5,10001
fly11,fly2,10044
fly9,fly2,10091
fly2,fly9,10091
fly9,fly2,10131
fly1,fly4,10153
fly10,fly5,10159
fly2,fly1,10188
fly1,fly2,10189
fly9,fly3,10195
fly3,fly6,10214
fly6,fly1,10221
fly8,fly10,10225
fly1,fly3,10234
fly3,fly1,10234
fly1,fly6,10256
fly12,fly2,10267
fly2,fly12,10276
fly1,fly10,10293
fly10,fly1,10293
fly6,fly12,10356
fly12,fly3,10371
fly6,fly3,10376
fly6,fly12,10388
fly2,fly6,10393
fly3,fly12,10393
fly11,fly4,10408
fly9,fly3,10428
fly3,fly9,10428
fly5,fly2,10437
fly2,fly10,10444
fly1,fly12,10449
fly12,fly1,10469
fly10,fly9,10480
fly1,fly7,10486
fly2,fly9,10496
fly12,fly7,10509
fly9,fly2,10528
fly12,fly1,10544
fly6,fly7,10544
fly4,fly3,10545
fly3,fly4,10551
fly6,fly1,10586
fly8,fly4,10593
fly4,fly8,10598
fly7,fly1,10623
fly11,fly5,10645
fly5,fly12,10647
fly3,fly10,10651
fly10,fly3,10680
fly12,fly11,10695
fly6,fly11,10713
fly2,fly9,10717
fly12,fly10,10729
fly7,fly9,10733
fly7,fly2,10742
fly11,fly6,10759
